branch,sources,eog_positive_rows,unlabelled_rows,eog_proxy_pr_auc,eog_proxy_roc_auc,f1,threshold,threshold_note
compact_tabular,299,72,227,0.7788304985058677,0.8650269211943221,,,not reported because NB12b has no deployment-calibrated threshold
guarded_cv_tabular,299,72,227,0.8022484004074508,0.8813631913852178,,,not reported because NB12b has no deployment-calibrated threshold
