country,mean_pr_auc_delta,std_pr_auc_delta,min_pr_auc_delta,max_pr_auc_delta,positive_seeds
Algeria,0.012185022936185544,0.012692567624988544,-0.0022177017829191348,0.021736366873149837,2
Angola,0.03571428571428581,0.010309826235528995,0.023809523809523947,0.04166666666666674,3
Indonesia,-0.0016883245387625163,0.002296356545107794,-0.0041244015336630024,0.00043657670378582925,1
Iraq,0.030769654235760353,0.007639932561016543,0.026358737115066866,0.03959148847714733,3
Libya,0.015464250972514396,0.002260984971608574,0.013004083202405203,0.017451126737167866,3
Nigeria,0.043677014676854885,0.0041469210960542935,0.03890288632935701,0.04638459167111664,3
