seed,compact_macro_pr_auc,guarded_macro_pr_auc,macro_pr_auc_gain,compact_macro_f1,guarded_macro_f1,macro_f1_gain,improved_countries,worst_country_pr_auc_delta,original_nb12_guard_passed,diagnostic_nested_selection,elapsed_minutes
272,0.9065466145669814,0.9299595809717394,0.023412966404757984,0.7668759998171762,0.8188723495096045,0.05199634969242828,5,-0.0041244015336630024,True,compact_tabular,0.9119210044542948
273,0.9055689364697423,0.92841093304441,0.022841996574667678,0.7668759998171762,0.8144716576089125,0.047595657791736246,4,-0.0022177017829191348,True,compact_tabular,0.804269007841746
274,0.9085844775551185,0.9303904665741122,0.021805989018993666,0.7630503859939344,0.8166199865761269,0.05356960058219251,6,0.00043657670378582925,True,compact_tabular,0.8057619373003642
