country,branch,threshold_policy,threshold,seed_272_threshold,seed_273_threshold,seed_274_threshold
Algeria,compact_tabular,median of three fold-local seed thresholds,0.3971398443159707,0.3971398443159707,0.4207180908374289,0.3566232389582049
Algeria,guarded_cv_tabular,median of three fold-local seed thresholds,0.6052371218816425,0.6052371218816425,0.6291157948755031,0.5814548905917047
Algeria,all77_tabular,median of three fold-local seed thresholds,0.4096712213177941,0.4197253645254905,0.3891526749161256,0.4096712213177941
Angola,compact_tabular,median of three fold-local seed thresholds,0.421660626791302,0.4329732047222382,0.421660626791302,0.3940390084394884
Angola,guarded_cv_tabular,median of three fold-local seed thresholds,0.5893001115620857,0.5996438694768309,0.5893001115620857,0.5802710341634928
Angola,all77_tabular,median of three fold-local seed thresholds,0.3889688162360597,0.3839802859609237,0.3969567920395656,0.3889688162360597
Indonesia,compact_tabular,median of three fold-local seed thresholds,0.5055467939883183,0.5105571822744435,0.5031181153541876,0.5055467939883183
Indonesia,guarded_cv_tabular,median of three fold-local seed thresholds,0.6280960797598161,0.6533414101332545,0.6200002708925119,0.6280960797598161
Indonesia,all77_tabular,median of three fold-local seed thresholds,0.2665409725865407,0.2627045949236709,0.2780146980570179,0.2665409725865407
Iraq,compact_tabular,median of three fold-local seed thresholds,0.4132129100385852,0.4132129100385852,0.4021141788951602,0.4551368845872595
Iraq,guarded_cv_tabular,median of three fold-local seed thresholds,0.5736104009816166,0.6136323010046248,0.5721348860217443,0.5736104009816166
Iraq,all77_tabular,median of three fold-local seed thresholds,0.3031421570968738,0.3581739964673836,0.3031421570968738,0.2813850086860082
Libya,compact_tabular,median of three fold-local seed thresholds,0.4387212543467839,0.4387212543467839,0.4327049163599976,0.4999998303525846
Libya,guarded_cv_tabular,median of three fold-local seed thresholds,0.6293653708281065,0.6356276277355034,0.6169680712805169,0.6293653708281065
Libya,all77_tabular,median of three fold-local seed thresholds,0.2748569309084714,0.2607309400191953,0.2748569309084714,0.2905247201002014
Nigeria,compact_tabular,median of three fold-local seed thresholds,0.3404806508990955,0.3356966683985786,0.3404806508990955,0.3497141270114045
Nigeria,guarded_cv_tabular,median of three fold-local seed thresholds,0.5380172814591774,0.5090754443883792,0.5510325572682593,0.5380172814591774
Nigeria,all77_tabular,median of three fold-local seed thresholds,0.4558249483378754,0.4558249483378754,0.4687734503981647,0.4284173600960551
