country,branch,review_fraction,rank,source_id,is_eog_flare,score
Algeria,all77_tabular,0.2,8,Algeria_12564,1,0.7554184956566976
Algeria,all77_tabular,0.2,9,Algeria_348,0,0.7487002755909161
Algeria,all77_tabular,0.2,10,Algeria_4844,1,0.6510226510409997
Algeria,all77_tabular,0.3,1,Algeria_5269,1,0.9400567055274074
Algeria,all77_tabular,0.3,2,Algeria_5371,1,0.9326929961963079
Algeria,all77_tabular,0.3,3,Algeria_255,1,0.9319233016944429
Algeria,all77_tabular,0.3,4,Algeria_2790,1,0.929725977001956
Algeria,all77_tabular,0.3,5,Algeria_5201,1,0.9087733033817288
Algeria,all77_tabular,0.3,6,Algeria_284,1,0.8803608913061861
Algeria,all77_tabular,0.3,7,Algeria_14071,1,0.8613801298188726
Algeria,all77_tabular,0.3,8,Algeria_12564,1,0.7554184956566976
Algeria,all77_tabular,0.3,9,Algeria_348,0,0.7487002755909161
Algeria,all77_tabular,0.3,10,Algeria_4844,1,0.6510226510409997
Algeria,all77_tabular,0.3,11,Algeria_5357,0,0.6464824237877385
Algeria,all77_tabular,0.3,12,Algeria_10476,0,0.6304580834630386
Algeria,all77_tabular,0.3,13,Algeria_13208,1,0.5067996610547432
Algeria,all77_tabular,0.3,14,Algeria_10944,0,0.4414146982041129
Algeria,all77_tabular,0.3,15,Algeria_13190,0,0.4120350308325984
Angola,compact_tabular,0.1,1,Angola_251,1,0.9166094148733513
Angola,compact_tabular,0.1,2,Angola_463802,1,0.8616793638175726
Angola,compact_tabular,0.1,3,Angola_619866,1,0.7990757535376227
Angola,compact_tabular,0.1,4,Angola_623789,1,0.4598243023231327
Angola,compact_tabular,0.1,5,Angola_770424,1,0.43534194784486835
Angola,compact_tabular,0.2,1,Angola_251,1,0.9166094148733513
Angola,compact_tabular,0.2,2,Angola_463802,1,0.8616793638175726
Angola,compact_tabular,0.2,3,Angola_619866,1,0.7990757535376227
Angola,compact_tabular,0.2,4,Angola_623789,1,0.4598243023231327
Angola,compact_tabular,0.2,5,Angola_770424,1,0.43534194784486835
Angola,compact_tabular,0.2,6,Angola_404378,0,0.3831348433957018
Angola,compact_tabular,0.2,7,Angola_193906,0,0.27241425649817774
Angola,compact_tabular,0.2,8,Angola_515766,1,0.257898383987599
Angola,compact_tabular,0.2,9,Angola_593524,0,0.24627140765244118
Angola,compact_tabular,0.2,10,Angola_56051,0,0.2270627978428793
Angola,compact_tabular,0.3,1,Angola_251,1,0.9166094148733513
Angola,compact_tabular,0.3,2,Angola_463802,1,0.8616793638175726
Angola,compact_tabular,0.3,3,Angola_619866,1,0.7990757535376227
Angola,compact_tabular,0.3,4,Angola_623789,1,0.4598243023231327
Angola,compact_tabular,0.3,5,Angola_770424,1,0.43534194784486835
Angola,compact_tabular,0.3,6,Angola_404378,0,0.3831348433957018
Angola,compact_tabular,0.3,7,Angola_193906,0,0.27241425649817774
Angola,compact_tabular,0.3,8,Angola_515766,1,0.257898383987599
Angola,compact_tabular,0.3,9,Angola_593524,0,0.24627140765244118
Angola,compact_tabular,0.3,10,Angola_56051,0,0.2270627978428793
Angola,compact_tabular,0.3,11,Angola_77518,0,0.22329508821704822
Angola,compact_tabular,0.3,12,Angola_3171,0,0.21937064121361585
Angola,compact_tabular,0.3,13,Angola_240993,0,0.2098423573464466
Angola,compact_tabular,0.3,14,Angola_500129,0,0.19080492815992622
Angola,compact_tabular,0.3,15,Angola_411790,0,0.18070399325839523
Angola,guarded_cv_tabular,0.1,1,Angola_251,1,0.8712176274544908
Angola,guarded_cv_tabular,0.1,2,Angola_623789,1,0.8091650415359862
Angola,guarded_cv_tabular,0.1,3,Angola_463802,1,0.778517970005483
Angola,guarded_cv_tabular,0.1,4,Angola_619866,1,0.7143601801205604
Angola,guarded_cv_tabular,0.1,5,Angola_515766,1,0.6497503929659348
Angola,guarded_cv_tabular,0.2,1,Angola_251,1,0.8712176274544908
Angola,guarded_cv_tabular,0.2,2,Angola_623789,1,0.8091650415359862
Angola,guarded_cv_tabular,0.2,3,Angola_463802,1,0.778517970005483
Angola,guarded_cv_tabular,0.2,4,Angola_619866,1,0.7143601801205604
Angola,guarded_cv_tabular,0.2,5,Angola_515766,1,0.6497503929659348
Angola,guarded_cv_tabular,0.2,6,Angola_770424,1,0.6164427366295379
Angola,guarded_cv_tabular,0.2,7,Angola_94537,0,0.6084933449350485
Angola,guarded_cv_tabular,0.2,8,Angola_56051,0,0.5232059866514006
Angola,guarded_cv_tabular,0.2,9,Angola_404378,0,0.5170116055436608
Angola,guarded_cv_tabular,0.2,10,Angola_13849,0,0.5119543456255274
Angola,guarded_cv_tabular,0.3,1,Angola_251,1,0.8712176274544908
Angola,guarded_cv_tabular,0.3,2,Angola_623789,1,0.8091650415359862
Angola,guarded_cv_tabular,0.3,3,Angola_463802,1,0.778517970005483
Angola,guarded_cv_tabular,0.3,4,Angola_619866,1,0.7143601801205604
Angola,guarded_cv_tabular,0.3,5,Angola_515766,1,0.6497503929659348
Angola,guarded_cv_tabular,0.3,6,Angola_770424,1,0.6164427366295379
Angola,guarded_cv_tabular,0.3,7,Angola_94537,0,0.6084933449350485
Angola,guarded_cv_tabular,0.3,8,Angola_56051,0,0.5232059866514006
Angola,guarded_cv_tabular,0.3,9,Angola_404378,0,0.5170116055436608
Angola,guarded_cv_tabular,0.3,10,Angola_13849,0,0.5119543456255274
Angola,guarded_cv_tabular,0.3,11,Angola_488655,0,0.5110190493854362
Angola,guarded_cv_tabular,0.3,12,Angola_593524,0,0.4812780114279316
Angola,guarded_cv_tabular,0.3,13,Angola_258666,0,0.4434138400044539
Angola,guarded_cv_tabular,0.3,14,Angola_193906,0,0.44279878069074746
Angola,guarded_cv_tabular,0.3,15,Angola_3171,0,0.42820787050968034
Angola,all77_tabular,0.1,1,Angola_463802,1,0.9245747235956299
Angola,all77_tabular,0.1,2,Angola_251,1,0.9172096568838181
Angola,all77_tabular,0.1,3,Angola_619866,1,0.770946965813924
Angola,all77_tabular,0.1,4,Angola_404378,0,0.45658282729168836
Angola,all77_tabular,0.1,5,Angola_623789,1,0.4451149794506868
Angola,all77_tabular,0.2,1,Angola_463802,1,0.9245747235956299
Angola,all77_tabular,0.2,2,Angola_251,1,0.9172096568838181
Angola,all77_tabular,0.2,3,Angola_619866,1,0.770946965813924
Angola,all77_tabular,0.2,4,Angola_404378,0,0.45658282729168836
Angola,all77_tabular,0.2,5,Angola_623789,1,0.4451149794506868
Angola,all77_tabular,0.2,6,Angola_593524,0,0.4053258125552155
Angola,all77_tabular,0.2,7,Angola_515766,1,0.3705054238584582
Angola,all77_tabular,0.2,8,Angola_770424,1,0.31772939612180573
Angola,all77_tabular,0.2,9,Angola_56051,0,0.25325484680250465
Angola,all77_tabular,0.2,10,Angola_94537,0,0.2417502411162377
Angola,all77_tabular,0.3,1,Angola_463802,1,0.9245747235956299
Angola,all77_tabular,0.3,2,Angola_251,1,0.9172096568838181
Angola,all77_tabular,0.3,3,Angola_619866,1,0.770946965813924
Angola,all77_tabular,0.3,4,Angola_404378,0,0.45658282729168836
Angola,all77_tabular,0.3,5,Angola_623789,1,0.4451149794506868
Angola,all77_tabular,0.3,6,Angola_593524,0,0.4053258125552155
Angola,all77_tabular,0.3,7,Angola_515766,1,0.3705054238584582
Angola,all77_tabular,0.3,8,Angola_770424,1,0.31772939612180573
Angola,all77_tabular,0.3,9,Angola_56051,0,0.25325484680250465
Angola,all77_tabular,0.3,10,Angola_94537,0,0.2417502411162377
Angola,all77_tabular,0.3,11,Angola_193906,0,0.20288207072191797
Angola,all77_tabular,0.3,12,Angola_500129,0,0.20088409703973364
Angola,all77_tabular,0.3,13,Angola_3171,0,0.18471372445722203
Angola,all77_tabular,0.3,14,Angola_77518,0,0.17176312197686008
Angola,all77_tabular,0.3,15,Angola_411790,0,0.16489726831611687
Indonesia,compact_tabular,0.1,1,Indonesia_58411,1,0.9295474692842906
Indonesia,compact_tabular,0.1,2,Indonesia_63239,1,0.9226659350405031
Indonesia,compact_tabular,0.1,3,Indonesia_58413,1,0.9160968098997637
Indonesia,compact_tabular,0.1,4,Indonesia_68656,1,0.9070156840594689
Indonesia,compact_tabular,0.1,5,Indonesia_59933,1,0.9031635819247162
Indonesia,compact_tabular,0.2,1,Indonesia_58411,1,0.9295474692842906
Indonesia,compact_tabular,0.2,2,Indonesia_63239,1,0.9226659350405031
Indonesia,compact_tabular,0.2,3,Indonesia_58413,1,0.9160968098997637
Indonesia,compact_tabular,0.2,4,Indonesia_68656,1,0.9070156840594689
Indonesia,compact_tabular,0.2,5,Indonesia_59933,1,0.9031635819247162
Indonesia,compact_tabular,0.2,6,Indonesia_59042,1,0.852108413578699
Indonesia,compact_tabular,0.2,7,Indonesia_48059,1,0.8143548505163046
Indonesia,compact_tabular,0.2,8,Indonesia_63195,1,0.676125106046988
Indonesia,compact_tabular,0.2,9,Indonesia_58467,1,0.5599821440948106
Indonesia,compact_tabular,0.2,10,Indonesia_181254,1,0.4909660101326348
Indonesia,compact_tabular,0.3,1,Indonesia_58411,1,0.9295474692842906
Indonesia,compact_tabular,0.3,2,Indonesia_63239,1,0.9226659350405031
Indonesia,compact_tabular,0.3,3,Indonesia_58413,1,0.9160968098997637
