country,branch,n,n_positive,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp
Algeria,compact_tabular,48,15,0.3971398443159707,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8250152093859188,0.8929292929292929,28,5,5,10
Algeria,guarded_cv_tabular,48,15,0.6052371218816425,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.8400371116750427,0.903030303030303,30,3,5,10
Algeria,all77_tabular,48,15,0.4096712213177941,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8488839059491233,0.9070707070707071,28,5,5,10
Angola,compact_tabular,50,6,0.421660626791302,1.0,0.8333333333333334,0.9090909090909091,0.9583333333333333,0.9924242424242424,44,0,1,5
Angola,guarded_cv_tabular,50,6,0.5893001115620857,0.8571428571428571,1.0,0.9230769230769231,1.0,1.0,43,1,0,6
Angola,all77_tabular,50,6,0.3889688162360597,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8773809523809524,0.9810606060606061,42,2,2,4
Indonesia,compact_tabular,48,17,0.5055467939883183,1.0,0.5294117647058824,0.6923076923076923,0.9559171186204978,0.9392789373814042,31,0,8,9
Indonesia,guarded_cv_tabular,48,17,0.6280960797598161,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9508634992458521,0.9620493358633777,28,3,2,15
Indonesia,all77_tabular,48,17,0.2665409725865407,0.8,0.9411764705882353,0.8648648648648649,0.9330882352941177,0.9240986717267552,27,4,1,16
Iraq,compact_tabular,48,18,0.4132129100385852,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.8777192517502594,0.8481481481481482,29,1,4,14
Iraq,guarded_cv_tabular,48,18,0.5736104009816166,1.0,0.7777777777777778,0.875,0.908707264957265,0.8907407407407407,30,0,4,14
Iraq,all77_tabular,48,18,0.3031421570968738,0.875,0.7777777777777778,0.8235294117647058,0.8643253893253894,0.8407407407407408,28,2,4,14
Libya,compact_tabular,51,15,0.4387212543467839,0.6842105263157895,0.8666666666666667,0.7647058823529411,0.9098488965155631,0.9277777777777778,30,6,2,13
Libya,guarded_cv_tabular,51,15,0.6293653708281065,0.6521739130434783,1.0,0.7894736842105263,0.9250752019401904,0.9592592592592593,28,8,0,15
Libya,all77_tabular,51,15,0.2748569309084714,0.5185185185185185,0.9333333333333333,0.6666666666666666,0.9189300242241418,0.9425925925925926,23,13,1,14
Nigeria,compact_tabular,49,16,0.3404806508990955,1.0,0.5625,0.72,0.9055889423076923,0.9185606060606061,33,0,7,9
Nigeria,guarded_cv_tabular,49,16,0.5380172814591774,0.9090909090909091,0.625,0.7407407407407407,0.9513325083377833,0.9734848484848485,32,1,6,10
Nigeria,all77_tabular,49,16,0.4558249483378754,1.0,0.5625,0.72,0.918298586494151,0.9393939393939393,33,0,7,9
