seed,held_out_country,branch,inner_macro_ap,inner_macro_f1,threshold,fusion_alpha,inner_selected_branch,branch_selection_diagnostics,alpha_diagnostics
272,Algeria,compact_tabular,0.9006153591614329,0.7911787326048787,0.3971398443159707,,,,
272,Algeria,all77_tabular,0.9046300398818644,0.8012222222222223,0.4197253645254905,,,,
272,Algeria,handcrafted_image,0.7681941595985191,0.6542417582417582,0.3281177964480092,,,,
272,Algeria,cnn_only,0.7212978805605397,0.6168783082979107,0.3628605864804827,,,,
272,Algeria,cv_multispectral,0.760672882222155,0.650505730702165,0.2941585321609882,,,,
272,Algeria,guarded_cv_tabular,0.924338539481776,0.804,0.6052371218816425,0.5,,,"[{""alpha"": 0.0, ""macro_ap"": 0.9006153591614329, ""gain"": 0.0, ""improved_countries"": 0, ""worst_delta"": 0.0, ""eligible"": true}, {""alpha"": 0.15, ""macro_ap"": 0.9166063108951595, ""gain"": 0.015990951733726666, ""improved_countries"": 5, ""worst_delta"": 0.005781605781605803, ""eligible"": true}, {""alpha"": 0.3, ""macro_ap"": 0.9212424116651764, ""gain"": 0.020627052503743526, ""improved_countries"": 4, ""worst_delta"": -0.0019100783269423438, ""eligible"": true}, {""alpha"": 0.5, ""macro_ap"": 0.9243385394817759, ""gain"": 0.02372318032034304, ""improved_countries"": 4, ""worst_delta"": -0.021047210422583396, ""eligible"": true}, {""alpha"": 0.7, ""macro_ap"": 0.9090881545441926, ""gain"": 0.00847279538275969, ""improved_countries"": 4, ""worst_delta"": -0.05054859430291958, ""eligible"": false}]"
272,Algeria,nested_champion,0.924338539481776,0.804,0.6052371218816425,,guarded_cv_tabular,"[{""branch"": ""compact_tabular"", ""macro_ap"": 0.9006153591614329, ""macro_ap_gain"": 0.0, ""macro_f1"": 0.7911787326048787, ""macro_f1_delta"": 0.0, ""improved_countries"": 0, ""worst_country_delta"": 0.0, ""eligible"": true}, {""branch"": ""all77_tabular"", ""macro_ap"": 0.9046300398818643, ""macro_ap_gain"": 0.004014680720431429, ""macro_f1"": 0.8012222222222223, ""macro_f1_delta"": 0.010043489617343582, ""improved_countries"": 3, ""worst_country_delta"": -0.02777777777777768, ""eligible"": false}, {""branch"": ""guarded_cv_tabular"", ""macro_ap"": 0.9243385394817759, ""macro_ap_gain"": 0.02372318032034304, ""macro_f1"": 0.804, ""macro_f1_delta"": 0.01282126739512135, ""improved_countries"": 4, ""worst_country_delta"": -0.021047210422583396, ""eligible"": true}]",
272,Angola,compact_tabular,0.8544242823246704,0.7664285714285713,0.4329732047222382,,,,
272,Angola,all77_tabular,0.8781352974310284,0.814256605463502,0.3839802859609237,,,,
272,Angola,handcrafted_image,0.755120438548641,0.6422564102564102,0.4050892341386112,,,,
272,Angola,cnn_only,0.7418425879237169,0.627676964505609,0.1756168068274605,,,,
272,Angola,cv_multispectral,0.7696818866683436,0.6607859723576304,0.167340834628933,,,,
