source_id,country,status,full_clear_fraction,full_worldcover_fraction,full_negative_fraction,full_below_minus005_fraction,full_ndvi_valid_fraction,full_ndbi_valid_fraction,full_mndwi_valid_fraction,center_clear_fraction,center_worldcover_fraction,center_negative_fraction,center_below_minus005_fraction,center_ndvi_valid_fraction,center_ndbi_valid_fraction,center_mndwi_valid_fraction,review_reflectance_tail
Angola_404378,Angola,ok,0.9972,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_95481,Indonesia,ok,0.9872,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Iraq_356,Iraq,ok,0.9951,1.0,0.0,0.0,1.0,1.0,1.0,0.9216,1.0,0.0,0.0,1.0,1.0,1.0,False
Libya_2106,Libya,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Nigeria_392441,Nigeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_11289,Algeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Angola_967756,Angola,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_68656,Indonesia,ok,0.99695,1.0,0.008074627614223381,0.0,0.9515522343146597,0.9515522343146597,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Iraq_29159,Iraq,ok,0.8875,1.0,1.8779342723004694e-05,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Libya_2249,Libya,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Nigeria_245091,Nigeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_10939,Algeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Angola_463802,Angola,ok,0.999,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_63239,Indonesia,ok,0.9978,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Iraq_27397,Iraq,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Libya_2823,Libya,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Nigeria_458617,Nigeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_10944,Algeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Angola_658578,Angola,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_28774,Indonesia,ok,0.99965,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Iraq_27309,Iraq,ok,0.991,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Libya_1814,Libya,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Nigeria_148184,Nigeria,ok,0.9938,1.0,0.0,0.0,1.0,1.0,1.0,0.9952,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_4844,Algeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Angola_344428,Angola,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_48059,Indonesia,ok,0.9751,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Iraq_1612,Iraq,ok,0.99145,1.0,0.0,0.0,1.0,1.0,1.0,0.9968,1.0,0.0,0.0,1.0,1.0,1.0,False
Libya_1531,Libya,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Nigeria_206027,Nigeria,ok,0.9894,1.0,0.0,0.0,1.0,1.0,1.0,0.9536,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_2720,Algeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Angola_349154,Angola,ok,0.844975,1.0,0.16664201110486504,0.0,1.0,1.0,1.0,0.8288,1.0,0.16666666666666666,0.0,1.0,1.0,1.0,False
Indonesia_59933,Indonesia,ok,0.97845,1.0,0.0,0.0,1.0,1.0,1.0,0.9984,1.0,0.0,0.0,1.0,1.0,1.0,False
Iraq_1006,Iraq,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Libya_2359,Libya,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Nigeria_364958,Nigeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_2917,Algeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Angola_41643,Angola,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_84951,Indonesia,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Iraq_4954,Iraq,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
