source_id,country,chip_id,status,chip_file,crs,clear_fraction,center_clear_fraction,worldcover_valid_fraction,scene_id,scene_datetime,requested_lon,requested_lat,reused_from,reflectance_p01,reflectance_p99,error
Iraq_5306,Iraq,822f917bee6b225468f6,pending,,,,,,,,,,,,,
Libya_798,Libya,efd7f2e3b72350c8d01c,pending,,,,,,,,,,,,,
Nigeria_34140,Nigeria,a7ef10c6a30e6bcf0731,pending,,,,,,,,,,,,,
Algeria_284,Algeria,173cf1e858c4199f3e38,ok,173cf1e858c4199f3e38.npz,EPSG:32632,0.9982,0.9868,1.0,S2B_T32RKT_20240810T101748_L2A,2024-08-10T10:22:52.807000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.1405695080757141,0.7199689149856567,
Angola_75674,Angola,0710ab794e3ff6c88c2f,pending,,,,,,,,,,,,,
Indonesia_24396,Indonesia,0ffd7d7ec8713cf5efa2,pending,,,,,,,,,,,,,
Iraq_20892,Iraq,03ce3407ca836979d3ea,pending,,,,,,,,,,,,,
Libya_2065,Libya,7c14e39feb0b0a5e0352,pending,,,,,,,,,,,,,
Nigeria_254401,Nigeria,ba54beea55127060e7c6,pending,,,,,,,,,,,,,
Algeria_68,Algeria,79e7a7fa65c2acd4dd94,pending,,,,,,,,,,,,,
Angola_251,Angola,bdb86214c896ec143419,ok,bdb86214c896ec143419.npz,EPSG:32733,1.0,1.0,1.0,S2B_T33MTP_20240802T092157_L2A,2024-08-02T09:32:21.101000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.013814372010529041,0.3710440695285797,
Indonesia_61874,Indonesia,615d960e6dfe33738a49,pending,,,,,,,,,,,,,
Iraq_397,Iraq,c0ffb5131e7b8949542d,ok,c0ffb5131e7b8949542d.npz,EPSG:32638,1.0,1.0,1.0,S2B_T38SKG_20240811T080043_L2A,2024-08-11T08:09:38.399000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.09069812297821045,0.4297187328338623,
Libya_198,Libya,f9812399f23492a10e58,pending,,,,,,,,,,,,,
Nigeria_378328,Nigeria,939a56aa5af722bbf5ff,ok,939a56aa5af722bbf5ff.npz,EPSG:32633,1.0,1.0,1.0,S2B_T33PUR_20240430T094131_L2A,2024-04-30T09:46:47.860000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.2153431475162506,0.7657067775726318,
Algeria_5095,Algeria,bc65d1274fa38820d5a9,pending,,,,,,,,,,,,,
Angola_32648,Angola,980fa28654d72a72059d,pending,,,,,,,,,,,,,
Indonesia_134859,Indonesia,d59a065f462e34ca7ba0,pending,,,,,,,,,,,,,
Iraq_993,Iraq,f0fca337a24b2f921e43,pending,,,,,,,,,,,,,
Libya_2916,Libya,ae33cb5ecb33903c009e,pending,,,,,,,,,,,,,
Nigeria_190541,Nigeria,8c901ed4281e958b1b68,pending,,,,,,,,,,,,,
Algeria_14246,Algeria,8491451366212b69e59c,pending,,,,,,,,,,,,,
Angola_465411,Angola,21e76ba674a04475f4ff,pending,,,,,,,,,,,,,
Indonesia_110993,Indonesia,cbc53103cae2ef6b3edf,pending,,,,,,,,,,,,,
Iraq_460,Iraq,d364b24982b30e981092,pending,,,,,,,,,,,,,
Libya_1563,Libya,d43f29050cb13538ab37,ok,d43f29050cb13538ab37.npz,EPSG:32634,1.0,1.0,1.0,S2A_T34RDV_20230915T093154_L2A,2023-09-15T09:32:01.787000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.1972072422504425,0.6657326221466064,
Nigeria_262015,Nigeria,f33242ab5b5b9a143d90,pending,,,,,,,,,,,,,
Algeria_5407,Algeria,655793c8659f21798a93,pending,,,,,,,,,,,,,
Angola_622437,Angola,807fd0bbe278011f620c,pending,,,,,,,,,,,,,
Indonesia_46308,Indonesia,20c94bea09ba3a2bbf47,pending,,,,,,,,,,,,,
Iraq_35468,Iraq,a41ebc69a437f21150d0,pending,,,,,,,,,,,,,
Libya_986,Libya,ab667956312ab02f114f,pending,,,,,,,,,,,,,
Nigeria_332635,Nigeria,d87bb8a06440d5af998f,pending,,,,,,,,,,,,,
Algeria_14177,Algeria,ec34b3f0af799d0c7637,pending,,,,,,,,,,,,,
Angola_723031,Angola,9da036eae1f24168ef93,pending,,,,,,,,,,,,,
Indonesia_129,Indonesia,2263f94373183ad11574,pending,,,,,,,,,,,,,
Iraq_143,Iraq,af4686ef95cf64544fef,pending,,,,,,,,,,,,,
Libya_2351,Libya,4b372bc78af054ae2af5,ok,4b372bc78af054ae2af5.npz,EPSG:32634,1.0,1.0,1.0,S2B_T34SDA_20230722T091941_L2A,2023-07-22T09:31:45.017000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.06268233060836792,0.5271126627922058,
Nigeria_2927,Nigeria,7604453bb208d54e0206,pending,,,,,,,,,,,,,
Algeria_11748,Algeria,c68b40d9b3209168e323,pending,,,,,,,,,,,,,
Angola_682162,Angola,94eca77cf2a7c25c7461,pending,,,,,,,,,,,,,
Indonesia_432,Indonesia,33b7d496b13323af244b,pending,,,,,,,,,,,,,
Iraq_35473,Iraq,6d57fcbf373fc8fd747a,ok,6d57fcbf373fc8fd747a.npz,EPSG:32638,1.0,1.0,1.0,S2B_T38SME_20240828T075111_L2A,2024-08-28T08:00:00.953000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.11400156468153,0.4606024920940399,
Libya_791,Libya,875e4c9cdf7178abf87d,pending,,,,,,,,,,,,,
Nigeria_4850,Nigeria,35ecfa3cd33262614595,pending,,,,,,,,,,,,,
