experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,country_alpha,fragment_balance,n_features,threshold_exact,threshold_policy,macro_country_f1,worst_country_f1,macro_country_pr_auc,pooled_best_threshold,pooled_best_f1,macro_site_recall_all
unweighted,1634155,3506,0.2661,0.6569037656903766,0.5373645179691957,0.5911515531848133,0.5525362457801823,0.9694350259080243,0.5933520604620796,0.0012714382200570164,1629665,984,1622,1884,356.63,30.409,0.0,False,45,0.2661449082279684,maximize macro country F1 on grouped OOF,0.5238596211518269,0.2787286063569682,0.4850543767761868,0.252605250261164,0.5911988804229513,0.4184687460571775
site_balanced,1634155,3506,0.2787,0.661319073083779,0.529092983456931,0.5878624623672952,0.548577870225612,0.9692582480161991,0.5907445530922909,0.0012776983224499743,1629699,950,1651,1855,365.39,31.074,0.0,True,45,0.2786911226932497,maximize macro country F1 on grouped OOF,0.5235069651891875,0.27994955863808324,0.4895244808705526,0.24237321521675664,0.5881806930693069,0.4183225622142861
sqrt_country_site,1634155,3506,0.2884,0.6631309436722751,0.5171135196805476,0.5810897435897436,0.5541074219989914,0.968489978566753,0.5848105590080562,0.0012794160258858527,1629728,921,1693,1813,351.8,29.711,0.5,True,45,0.2884094349579104,maximize macro country F1 on grouped OOF,0.5017322964386959,0.25396825396825395,0.47403220110333316,0.25958992247310314,0.5814245371823031,0.4055374338511802
equal_country_site,1634155,3506,0.3522,0.6721879815100154,0.497718197375927,0.5719436250409702,0.5398022787249385,0.959708850601352,0.5776441365527606,0.0013152601587217928,1629798,851,1761,1745,352.22,30.812,1.0,True,45,0.35223998353660824,maximize macro country F1 on grouped OOF,0.4797077927881282,0.19753086419753085,0.4528971300632805,0.346829007874429,0.5724081632653061,0.3924111007276021
