experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,country,model_variant,threshold_exact,inner_seed,fit_seed,inner_macro_f1,threshold_policy
05d holdout=Algeria,10163,1039,0.2507,0.7676348547717843,0.534167468719923,0.6299659477866061,0.6589836007835955,0.8880584010103129,0.6078386132974589,0.05639786583201243,8956,168,484,555,827.45,0.194,Algeria,unweighted,0.25068756539733006,10031,20031,0.49441909574753096,training-country grouped OOF macro F1
05d holdout=Angola,970253,32,0.2273,0.16129032258064516,0.3125,0.2127659574468085,0.1585472314309202,0.9244331317297811,0.22447159345062434,4.150225681199974e-05,970169,52,22,10,337.49,17.32,Angola,unweighted,0.22734758861872006,11031,21031,0.5611803832060291,training-country grouped OOF macro F1
05d holdout=Indonesia,183558,376,0.3504,0.1639135959339263,0.34308510638297873,0.22184006878761822,0.12190310539101439,0.9020277502179556,0.23492281647690783,0.003159150518201198,182524,658,247,129,733.34,3.68,Indonesia,site_balanced,0.3503528254759094,12031,22031,0.5757573282201397,training-country grouped OOF macro F1
05d holdout=Iraq,30598,741,0.3452,0.6193390452876377,0.6828609986504723,0.6495507060333762,0.6265682588376329,0.9226068913191565,0.6412215123714904,0.013084490730404089,29546,311,235,506,814.91,0.562,Iraq,unweighted,0.34524851337988754,13031,23031,0.4991465543023401,training-country grouped OOF macro F1
05d holdout=Libya,2696,546,0.2454,0.7767441860465116,0.6117216117216118,0.6844262295081968,0.7656997439450324,0.8977212709770849,0.6224269473890294,0.09492430618132905,2054,96,212,334,827.46,0.049,Libya,unweighted,0.24535890271115038,14031,24031,0.4952774105298674,training-country grouped OOF macro F1
05d holdout=Nigeria,436887,772,0.2797,0.4727272727272727,0.13471502590673576,0.20967741935483872,0.18893538299453502,0.8460941162129896,0.2516983360991311,0.0015617115504764141,435999,116,668,104,602.88,8.831,Nigeria,site_balanced,0.27972300778885456,15031,25031,0.5075379094604471,training-country grouped OOF macro F1
