experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,country,prevalence,predicted_positive,prediction_rate,pr_auc_lift
unweighted,10163,1039,0.2661,0.7506172839506173,0.5851780558229066,0.6576527852893456,0.6974726412829956,0.9045142764073134,0.6298260777107639,0.05130704398324518,8922,202,431,608,,,Algeria,0.10223359244317623,810,0.07970087572567155,6.8223430734928625
unweighted,970253,32,0.2661,0.391304347826087,0.28125,0.32727272727272727,0.20925260584341415,0.9440295046180199,0.331725842420276,3.128552042375837e-05,970207,14,23,9,,,Angola,3.2981088437757986e-05,23,2.3705157314638554e-05,6344.624018043441
unweighted,183558,376,0.2661,0.2579185520361991,0.30319148936170215,0.2787286063569682,0.16391672929132214,0.9142976076344955,0.2780389333268319,0.002073787020454923,182854,328,262,114,,,Indonesia,0.0020483988712014733,442,0.002407958247529391,80.02188030653326
unweighted,30598,741,0.2661,0.6695652173913044,0.7273954116059379,0.6972833117723156,0.6789185936919386,0.9325495161665114,0.690073909492124,0.011271942091648926,29591,266,202,539,,,Iraq,0.024217269102555724,805,0.02630890907902477,28.034481956526232
unweighted,2696,546,0.2661,0.7958236658932715,0.6282051282051282,0.7021494370522006,0.7600402267119235,0.9047116449442032,0.6439976008263426,0.09227039980868192,2062,88,203,343,,,Libya,0.20252225519287834,431,0.15986646884272998,3.7528726212735273
unweighted,436887,772,0.2661,0.7591036414565826,0.35103626943005184,0.4800708591674048,0.4007254638355263,0.9144305683264722,0.5156748634930711,0.0012626118116187835,436029,86,501,271,,,Nigeria,0.0017670473142940852,357,0.0008171449367914358,226.7768726926316
site_balanced,10163,1039,0.2787,0.7550251256281407,0.5784408084696824,0.6550408719346049,0.6928896528509937,0.9040655344670518,0.6281339976557433,0.0524579242700374,8929,195,438,601,,,Algeria,0.10223359244317623,796,0.07832332972547476,6.777514477309575
site_balanced,970253,32,0.2787,0.45,0.28125,0.34615384615384615,0.23802835975990427,0.944952780088248,0.3557396957403735,3.010235936522388e-05,970210,11,23,9,,,Angola,3.2981088437757986e-05,20,2.0613180273598743e-05,7217.11656694145
site_balanced,183558,376,0.2787,0.26618705035971224,0.29521276595744683,0.27994955863808324,0.1876726134706361,0.9073675593416335,0.278769457299802,0.0020128153513761697,182876,306,265,111,,,Indonesia,0.0020483988712014733,417,0.0022717615140718465,91.61917442405058
site_balanced,30598,741,0.2787,0.6658291457286433,0.7152496626180836,0.6896551724137931,0.6656368592587337,0.933695509549184,0.6821298824387844,0.011419641697380857,29591,266,211,530,,,Iraq,0.024217269102555724,796,0.026014772207333812,27.486041321995593
