experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,n_features,window,threshold_source,pu_bags,unlabeled_per_positive
reduced LightGBM,1634155,3506,0.7014,0.8220183486238533,0.38334284084426695,0.522855475588407,0.5490640716137171,0.9707936392963346,0.5607679709233644,0.0012768255714455206,1630358,291,2162,1344,374.88,34.375,45,2022-2024,5-fold grouped OOF on foreign countries,0,0
bagged PU LightGBM,1634155,3506,0.9979,0.7865443425076453,0.3667997718197376,0.5002917720287882,0.5556019531607048,0.9735280019922787,0.5365048363622652,0.006106482669441626,1630300,349,2220,1286,70.21,135.148,45,2022-2024,5-fold grouped OOF on foreign countries,3,10
