experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,threshold_source,inner_oof_f1,inner_n,inner_n_pos
corrected LOCO holdout=Algeria,10163,1039,0.3617,0.8016260162601626,0.47449470644850816,0.596130592503023,0.6597389668593335,0.8843214165308344,0.585900393535256,0.057995550172356934,9002,122,546,493,288.32,0.214,3-fold grouped OOF on non-holdout countries,0.551454412124175,1623992,2467
corrected LOCO holdout=Angola,970253,32,0.1536,0.11688311688311688,0.28125,0.1651376146788991,0.23070461553788363,0.9420738612645985,0.18126918844285536,3.725384075157819e-05,970153,68,23,9,118.24,18.784,3-fold grouped OOF on non-holdout countries,0.5816238081479341,663902,3474
corrected LOCO holdout=Indonesia,183558,376,0.8315,0.1864406779661017,0.11702127659574468,0.1437908496732026,0.09762211630194548,0.880826695552406,0.14632867390309545,0.0033049107538263563,182990,192,332,44,259.59,4.083,3-fold grouped OOF on non-holdout countries,0.5470421305391836,1450597,3130
corrected LOCO holdout=Iraq,30598,741,0.4736,0.6444141689373297,0.6383265856950068,0.6413559322033898,0.5674683477611703,0.9171123696818985,0.6325057598823451,0.014317241910015538,29596,261,268,473,286.81,0.736,3-fold grouped OOF on non-holdout countries,0.5406271457999542,1603557,2765
corrected LOCO holdout=Libya,2696,546,0.5304,0.8498583569405099,0.5494505494505495,0.6674082313681868,0.7570549840505019,0.9001022233580371,0.6252236149267335,0.096062641639866,2097,53,246,300,287.59,0.066,3-fold grouped OOF on non-holdout countries,0.5383275261324042,1631459,2960
corrected LOCO holdout=Nigeria,436887,772,0.8274,0.7333333333333333,0.014248704663212436,0.02795425667090216,0.19432422930345153,0.8585985959756895,0.10206625189945377,0.001556420867932286,436111,4,761,11,207.31,9.353,3-fold grouped OOF on non-holdout countries,0.5417090539165819,1197268,2734
