experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s
LOCO holdout=Algeria,14271,1128,0.0893,0.6656976744186046,0.6090425531914894,0.6361111111111111,0.6471969032743323,0.8975657430026392,0.6070836973512554,0.04444165105058355,12798,345,441,687,118.83,0.537
LOCO holdout=Angola,970253,35,0.0303,0.012358393408856848,0.34285714285714286,0.02385685884691849,0.14979046307677543,0.9188498431722119,0.06493716796467096,4.113621844616402e-05,969259,959,23,12,51.07,23.303
LOCO holdout=Indonesia,183558,380,0.1953,0.1519916142557652,0.3815789473684211,0.21739130434782608,0.10666235883552744,0.9046840547962839,0.23841172206714042,0.0032359154283713833,182369,809,235,145,108.91,4.994
LOCO holdout=Iraq,35892,781,0.6793,0.7554858934169278,0.617157490396927,0.6793516560958421,0.6532442555374531,0.9104416645931863,0.6765356572773737,0.011739804633572866,34955,156,299,482,119.63,1.065
LOCO holdout=Libya,3326,577,0.1723,0.7786561264822134,0.682842287694974,0.7276084949215144,0.7480712609415364,0.9057631166335578,0.6769837884593727,0.0764868007434611,2637,112,183,394,119.18,0.255
LOCO holdout=Nigeria,480053,865,0.1574,0.49064449064449067,0.2728323699421965,0.35066864784546803,0.28141460629827336,0.8761681020026123,0.3650420100716925,0.0014914493885809649,478943,245,629,236,86.08,12.929
