experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,country,model_variant,threshold_exact,n_features,ensemble_seeds,training_rows_per_seed,inner_macro_pr_auc,selection_policy
05e holdout=Algeria,10163,1039,0.2791,0.7669773635153129,0.5543792107795957,0.6435754189944134,0.6894203834957432,0.8956156520007309,0.6198046058987582,0.05434467764997179,8949,175,463,576,,,Algeria,regularized_raw,0.279120969966847,45,"[20071, 20172, 20273]","[1623992, 1623992, 1623992]",0.4675397267271923,training-country macro AP then macro F1
05e holdout=Angola,970253,32,0.32,0.10975609756097561,0.28125,0.15789473684210525,0.24608670428515175,0.9696859497732991,0.17565300586747137,7.199083574755349e-05,970148,73,23,9,,,Angola,ranked_physics,0.32003041889576367,43,"[21071, 21172, 21273]","[663902, 663902, 663902]",0.5656551487578333,training-country macro AP then macro F1
05e holdout=Indonesia,183558,376,0.4332,0.2332695984703633,0.324468085106383,0.271412680756396,0.145614628747704,0.9058112505014778,0.2733690975664803,0.002784225852018056,182781,401,254,122,,,Indonesia,ranked_physics,0.4331993535993533,43,"[22071, 22172, 22273]","[1450597, 1450597, 1450597]",0.5414064747418054,training-country macro AP then macro F1
05e holdout=Iraq,30598,741,0.238,0.5371900826446281,0.7017543859649122,0.6085430076067876,0.6406249436082888,0.9338906366862431,0.6031523915840978,0.013154961663288299,29409,448,221,520,,,Iraq,ranked_compact,0.2380396145334004,39,"[23071, 23172, 23273]","[1603557, 1603557, 1603557]",0.4668364369500786,training-country macro AP then macro F1
05e holdout=Libya,2696,546,0.2068,0.6885245901639344,0.6923076923076923,0.6904109589041096,0.75632927055913,0.9066385552432064,0.6115230653853022,0.0938192281595067,1979,171,168,378,,,Libya,ranked_physics,0.2068131045148909,43,"[24071, 24172, 24273]","[1631459, 1631459, 1631459]",0.45229517252295726,training-country macro AP then macro F1
05e holdout=Nigeria,436887,772,0.2681,0.6519607843137255,0.172279792746114,0.2725409836065574,0.2815784027527953,0.8689417198094884,0.33460673839586236,0.0014817273468521316,436044,71,639,133,,,Nigeria,regularized_raw,0.2680739001413361,45,"[25071, 25172, 25273]","[1197268, 1197268, 1197268]",0.5062451629491842,training-country macro AP then macro F1
