experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,schema,persistent_train,n_features,threshold_exact,macro_country_f1,macro_country_pr_auc,worst_country_pr_auc,mean_training_rows,elapsed_s
regularized_raw,1634155,3506,0.3314,0.6798980335032775,0.5325156873930404,0.5972488803582854,0.5773161981452046,0.972686963963323,0.6009620772147498,0.0012309902597107112,1629770,879,1639,1867,,,raw,False,45,0.33140643559612754,0.5356990958681813,0.5067513175811502,0.18815740046606125,1307324.0,340.2204387187958
ranked_physics,1634155,3506,0.3009,0.6756191140565051,0.5524814603536794,0.6078769810136514,0.5935455200337818,0.9836259757779775,0.6102056005375452,0.001202788136504691,1629719,930,1569,1937,,,ranked,False,43,0.3009228278021097,0.5444491760853186,0.5062609138973193,0.21456422579401607,1307324.0,336.7414216995239
ranked_compact,1634155,3506,0.2022,0.6026759744037231,0.5909868796349116,0.5967741935483871,0.592396419470947,0.9834912334242811,0.5959444367839215,0.0012066761837077058,1629283,1366,1434,2072,,,compact,False,39,0.20218169090769764,0.5418911380359897,0.5058036987670419,0.20515531924866828,1307324.0,323.1983222961426
ranked_compact_persistent,1634155,3506,0.279,0.665761791652528,0.5596120935539076,0.6080892608089261,0.5791379655784203,0.9721589521124727,0.60962043252609,0.0012096775714116308,1629664,985,1544,1962,,,compact,True,39,0.2789778466585695,0.5423535469075867,0.5054642242170105,0.21829114753138928,907332.8,234.63516640663147
