experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,country_alpha,fragment_balance,n_features,threshold_exact,threshold_policy,macro_country_f1,worst_country_f1,macro_country_pr_auc,pooled_best_threshold,pooled_best_f1,macro_site_recall_all
unweighted,1634155,3506,0.2347,0.6402925531914894,0.549343981745579,0.591341725514277,0.5655893706304991,0.9711864474545968,0.5922706522324827,0.0012569215922331445,1629567,1082,1580,1926,375.62,31.562,0.0,False,45,0.23471177776550314,maximize macro country F1 on grouped OOF,0.5291635221550544,0.30192962542565266,0.49938920322909053,0.3330445356377463,0.5935186708340188,0.4325949005615039
site_balanced,1634155,3506,0.2509,0.6492874522071602,0.5328009127210497,0.5853047156509479,0.5502251204012163,0.9703657114853556,0.5873711017193229,0.0012793633459404793,1629640,1009,1638,1868,374.12,31.895,0.0,True,45,0.2509339967340814,maximize macro country F1 on grouped OOF,0.5231457064211892,0.3016069221260816,0.4828820934744207,0.3063768088217077,0.5862461388392132,0.42047266126708677
sqrt_country_site,1634155,3506,0.2724,0.6432789162903786,0.5282373074729035,0.5801096319498825,0.5624769979594452,0.969638980552442,0.5821201092991337,0.001276733242246391,1629622,1027,1654,1852,352.79,31.402,0.5,True,45,0.2723625247838107,maximize macro country F1 on grouped OOF,0.5015815936353145,0.25396825396825395,0.47188510950396206,0.3717279103178514,0.5816241454060364,0.41428600458124937
equal_country_site,1634155,3506,0.2406,0.6085283744789997,0.5413576725613235,0.5729811320754717,0.5504428440008279,0.9607779357472498,0.5730993596689842,0.001302711022822618,1629428,1221,1608,1898,355.03,31.372,1.0,True,45,0.24064192906648896,maximize macro country F1 on grouped OOF,0.4822856245352598,0.12903225806451613,0.45944478688223467,0.35794343739980145,0.5755229780925711,0.4158278138232711
