experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,country,model_variant,threshold_policy,inner_macro_country_f1,inner_n,inner_n_pos
05c LOCO holdout=Algeria,10163,1039,0.3668,0.8084112149532711,0.49951876804619827,0.6174895895300416,0.650574378546505,0.8849756472580327,0.6052874876691303,0.05681866278225279,9001,123,520,519,276.52,0.2,Algeria,unweighted,maximize macro country F1 on grouped inner OOF,0.4844537546194323,1623992,2467
05c LOCO holdout=Angola,970253,32,0.2402,0.21739130434782608,0.3125,0.2564102564102564,0.20310502229336613,0.9333376751276257,0.2606139502027834,3.7578469083549976e-05,970185,36,22,10,113.87,18.559,Angola,unweighted,maximize macro country F1 on grouped inner OOF,0.566648621151828,663902,3474
05c LOCO holdout=Indonesia,183558,376,0.4606,0.16589861751152074,0.2872340425531915,0.2103213242453749,0.09370252164220949,0.9017023558943936,0.21620232136214618,0.0033689569990724972,182639,543,268,108,259.18,3.735,Indonesia,unweighted,maximize macro country F1 on grouped inner OOF,0.5665591101941392,1450597,3130
05c LOCO holdout=Iraq,30598,741,0.1685,0.4863883847549909,0.7233468286099866,0.5816603364080304,0.5750746566029208,0.9195305992301493,0.5811294529921942,0.014405978157784842,29291,566,205,536,278.61,0.601,Iraq,unweighted,maximize macro country F1 on grouped inner OOF,0.4853769979726832,1603557,2765
05c LOCO holdout=Libya,2696,546,0.2881,0.8066037735849056,0.6263736263736264,0.7051546391752578,0.7609188877614219,0.8977706789334696,0.6493497089558261,0.09375388458307554,2068,82,204,342,282.49,0.051,Libya,unweighted,maximize macro country F1 on grouped inner OOF,0.49206089246912554,1631459,2960
05c LOCO holdout=Nigeria,436887,772,0.2497,0.5232558139534884,0.17487046632124353,0.2621359223300971,0.20258324195979732,0.8596260142916385,0.301827274328943,0.001543190164006454,435992,123,637,135,210.23,9.228,Nigeria,unweighted,maximize macro country F1 on grouped inner OOF,0.5171370351138151,1197268,2734
