experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,country,prevalence,predicted_positive,prediction_rate,pr_auc_lift
unweighted,10163,1039,0.3668,0.8084112149532711,0.49951876804619827,0.6174895895300416,0.650574378546505,0.8849756472580327,0.6052874876691303,0.05681866278225279,9001,123,520,519,,,Algeria,0.10223359244317623,642,0.06317032372331005,6.363606746071348
unweighted,970253,32,0.2402,0.21739130434782608,0.3125,0.2564102564102564,0.20310502229336613,0.9333376751276257,0.2606139502027834,3.7578469083549976e-05,970185,36,22,10,,,Angola,3.2981088437757986e-05,46,4.741031462927711e-05,6158.226787350168
unweighted,183558,376,0.4606,0.16589861751152074,0.2872340425531915,0.2103213242453749,0.09370252164220949,0.9017023558943936,0.21620232136214618,0.0033689569990724972,182639,543,268,108,,,Indonesia,0.0020483988712014733,651,0.0035465629392344654,45.744275179789064
unweighted,30598,741,0.1685,0.4863883847549909,0.7233468286099866,0.5816603364080304,0.5750746566029208,0.9195305992301493,0.5811294529921942,0.014405978157784842,29291,566,205,536,,,Iraq,0.024217269102555724,1102,0.03601542584482646,23.746470098159474
unweighted,2696,546,0.2881,0.8066037735849056,0.6263736263736264,0.7051546391752578,0.7609188877614219,0.8977706789334696,0.6493497089558261,0.09375388458307554,2068,82,204,342,,,Libya,0.20252225519287834,424,0.1572700296735905,3.7572112113640905
unweighted,436887,772,0.2497,0.5232558139534884,0.17487046632124353,0.2621359223300971,0.20258324195979732,0.8596260142916385,0.301827274328943,0.001543190164006454,435992,123,637,135,,,Nigeria,0.0017670473142940852,258,0.0005905417190257436,114.64505807006474
