excluded_countries,train_countries,training_sources,training_positives,training_unlabeled,seed,epochs,batch_size,unlabeled_keep_fraction,device,parameter_count,sampler,loss,normalization,bag_index,pu_bags,kind,scored_sources,scored_cohort_sources,score_population,embedding_dimension
"['Algeria', 'Iraq']","['Angola', 'Indonesia', 'Libya', 'Nigeria']",5859,651,5208,103131,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 5859, 'country_source_counts': {'Angola': 90, 'Indonesia': 1656, 'Libya': 1521, 'Nigeria': 2592}}","[0.9557504818736133, 0.633107021300942, 0.5555448890302058, 0.5702074589044044, 0.5321369000741861, 0.47937813429198467, 0.49108657133540595, 0.47355892712558406]","{'center': [1.0986123085021973, 0.6931471824645996, 2.5455312728881836, 1.691939115524292, 329.0247497558594, 30.595008850097656, 0.4000000059604645, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [1.252763032913208, 0.6931471824645996, 2.217886447906494, 1.5068086385726929, 28.80474090576172, 17.232147216796875, 1.0, 0.17428195476531982, 0.095238097012043, 1.0, 1.0, 1.0]}",0,2,pair,96,,,0
"['Algeria', 'Iraq']","['Angola', 'Indonesia', 'Libya', 'Nigeria']",5859,651,5208,103232,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 5859, 'country_source_counts': {'Angola': 90, 'Indonesia': 1656, 'Libya': 1521, 'Nigeria': 2592}}","[1.1013108070321123, 0.7576287683213321, 0.5815646151549012, 0.5516263726506752, 0.5923063682449782, 0.525334740096055, 0.5038417211712617, 0.4566961774689322]","{'center': [1.0986123085021973, 0.6931471824645996, 2.543175458908081, 1.6733512878417969, 328.8999938964844, 30.487272262573242, 0.4000000059604645, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [1.252763032913208, 0.9162907600402832, 2.2143940925598145, 1.505488634109497, 28.83392333984375, 17.23001480102539, 1.0, 0.1740722507238388, 0.09090909361839294, 1.0, 1.0, 1.0]}",1,2,pair,96,,,0
"['Algeria', 'Libya']","['Angola', 'Indonesia', 'Iraq', 'Nigeria']",6318,702,5616,104131,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 6318, 'country_source_counts': {'Angola': 90, 'Indonesia': 1656, 'Iraq': 1980, 'Nigeria': 2592}}","[0.8608950992934724, 0.5904192446190634, 0.4733107861894413, 0.4552244240628575, 0.43322078300148825, 0.4332902137332794, 0.4176744404624783, 0.40827878628512204]","{'center': [1.0986123085021973, 0.6931471824645996, 2.933856725692749, 1.918575644493103, 331.239990234375, 31.410003662109375, 0.3333333432674408, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [1.3862943649291992, 1.0986123085021973, 2.474165439605713, 1.4208365678787231, 25.875030517578125, 16.142478942871094, 0.9354838728904724, 0.20957708358764648, 0.18478260934352875, 1.0, 1.0, 1.0]}",0,2,pair,99,,,0
"['Algeria', 'Libya']","['Angola', 'Indonesia', 'Iraq', 'Nigeria']",6318,702,5616,104232,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 6318, 'country_source_counts': {'Angola': 90, 'Indonesia': 1656, 'Iraq': 1980, 'Nigeria': 2592}}","[0.9303120511474018, 0.5183756801194501, 0.47862938173815733, 0.449878181411934, 0.4091154136077329, 0.4206656989284466, 0.42874232169456516, 0.4439423243789667]","{'center': [1.0986123085021973, 0.6931471824645996, 2.9269180297851562, 1.919859528541565, 331.163818359375, 31.28791618347168, 0.3333333432674408, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [1.3862943649291992, 1.0986123085021973, 2.475327491760254, 1.4302637577056885, 25.705947875976562, 16.280527114868164, 0.9375, 0.2098761349916458, 0.190476194024086, 1.0, 1.0, 1.0]}",1,2,pair,99,,,0
"['Algeria', 'Nigeria']","['Angola', 'Indonesia', 'Iraq', 'Libya']",5247,583,4664,105131,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 5247, 'country_source_counts': {'Angola': 90, 'Indonesia': 1656, 'Iraq': 1980, 'Libya': 1521}}","[0.9243079343363743, 0.6998153927554761, 0.5724829169814192, 0.5696318710284254, 0.5058984620095844, 0.5760293190584242, 0.4882268097847331, 0.5134906422553436]","{'center': [1.3862943649291992, 1.0986123085021973, 3.015779972076416, 1.6389967203140259, 323.79998779296875, 28.599166870117188, 0.7368420958518982, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [2.397895336151123, 2.0149030685424805, 2.917553424835205, 1.6216191053390503, 27.386764526367188, 18.161144256591797, 1.0, 0.18846316635608673, 0.1428571492433548, 1.0, 1.0, 1.0]}",0,2,pair,97,,,0
"['Algeria', 'Nigeria']","['Angola', 'Indonesia', 'Iraq', 'Libya']",5247,583,4664,105232,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 5247, 'country_source_counts': {'Angola': 90, 'Indonesia': 1656, 'Iraq': 1980, 'Libya': 1521}}","[1.0226947309994938, 0.7864673049853874, 0.6460606844249807, 0.5398776012362583, 0.5276500588715679, 0.5431683582988766, 0.5632032607881733, 0.518382659248336]","{'center': [1.3862943649291992, 1.0986123085021973, 3.024319648742676, 1.6480445861816406, 324.0, 28.6453857421875, 0.7333333492279053, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [2.397895336151123, 2.079441547393799, 2.925442695617676, 1.6062217950820923, 27.399993896484375, 18.20877456665039, 1.0, 0.18969008326530457, 0.1428571492433548, 1.0, 1.0, 1.0]}",1,2,pair,97,,,0
"['Angola', 'Indonesia']","['Algeria', 'Iraq', 'Libya', 'Nigeria']",9342,1038,8304,106131,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 9342, 'country_source_counts': {'Algeria': 3249, 'Iraq': 1980, 'Libya': 1521, 'Nigeria': 2592}}","[0.9653952917611668, 0.7194820285685642, 0.6438899848987397, 0.6355886053053885, 0.6238994150875314, 0.5930933744078962, 0.5755839224572203, 0.6002059821027476]","{'center': [1.3862943649291992, 1.0986123085021973, 2.872434139251709, 1.542229175567627, 325.3423767089844, 28.519989013671875, 0.6985294222831726, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [2.1972246170043945, 1.8718020915985107, 2.58858585357666, 1.4164936542510986, 28.93707275390625, 16.150009155273438, 1.0, 0.18575960397720337, 0.0833333358168602, 1.0, 1.0, 1.0]}",0,2,pair,98,,,0
"['Angola', 'Indonesia']","['Algeria', 'Iraq', 'Libya', 'Nigeria']",9342,1038,8304,106232,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 9342, 'country_source_counts': {'Algeria': 3249, 'Iraq': 1980, 'Libya': 1521, 'Nigeria': 2592}}","[0.9326106953278928, 0.6617313322916809, 0.6748699793798258, 0.6224995418869436, 0.615089643169996, 0.5859934053286269, 0.5803808898748154, 0.5634094309025877]","{'center': [1.3862943649291992, 1.0986123085021973, 2.8735647201538086, 1.5332298278808594, 325.0927734375, 28.449981689453125, 0.7015527486801147, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [2.1972246170043945, 1.8718020915985107, 2.5739383697509766, 1.4213569164276123, 29.1419677734375, 16.209972381591797, 1.0, 0.18529316782951355, 0.07692307978868484, 1.0, 1.0, 1.0]}",1,2,pair,98,,,0
"['Angola', 'Iraq']","['Algeria', 'Indonesia', 'Libya', 'Nigeria']",9018,1002,8016,107131,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 9018, 'country_source_counts': {'Algeria': 3249, 'Indonesia': 1656, 'Libya': 1521, 'Nigeria': 2592}}","[1.111652994372676, 0.689215072244571, 0.6817072031634904, 0.6462130688476203, 0.6241775623285789, 0.6371939634372612, 0.5979805146545389, 0.6086862772789094]","{'center': [1.3862943649291992, 1.0986123085021973, 2.626840114593506, 1.5062971115112305, 325.13323974609375, 29.1500244140625, 0.6666666865348816, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [1.6094379425048828, 1.3862943649291992, 2.356571674346924, 1.423708200454712, 29.661148071289062, 16.993270874023438, 1.0, 0.1641300618648529, 0.027027027681469917, 1.0, 1.0, 1.0]}",0,2,pair,98,,,0
"['Angola', 'Iraq']","['Algeria', 'Indonesia', 'Libya', 'Nigeria']",9018,1002,8016,107232,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 9018, 'country_source_counts': {'Algeria': 3249, 'Indonesia': 1656, 'Libya': 1521, 'Nigeria': 2592}}","[0.9754079456312426, 0.7186960991588499, 0.6645546711371568, 0.6672042510440224, 0.6455896220759242, 0.6115774924592766, 0.6640210682945522, 0.6113144786163824]","{'center': [1.0986123085021973, 1.0986123085021973, 2.614471912384033, 1.508512020111084, 325.27288818359375, 29.249996185302734, 0.6666666865348816, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [1.6094379425048828, 1.3862943649291992, 2.3635573387145996, 1.4151623249053955, 29.626312255859375, 16.995895385742188, 1.0, 0.16602937877178192, 0.024390242993831635, 1.0, 1.0, 1.0]}",1,2,pair,98,,,0
