held_out_country,branch,inner_macro_ap,inner_macro_f1,threshold,selected_candidate,candidate_diagnostics
Iraq,nested_champion,0.8889082041295117,0.7891075050709939,0.7208333333333333,rank_blend_nb9_baseline,"[{""branch"": ""rank_blend_nb9_baseline"", ""macro_ap"": 0.8889082041295117, ""ap_gain_vs_baseline"": 0.01579900335883704, ""improved_countries"": 4, ""worst_ap_delta"": -0.005183871967759268, ""eligible"": true}, {""branch"": ""rank_blend_temporal_features"", ""macro_ap"": 0.882097448200498, ""ap_gain_vs_baseline"": 0.008988247429823315, ""improved_countries"": 3, ""worst_ap_delta"": -0.016496453979406134, ""eligible"": true}, {""branch"": ""nb9_baseline"", ""macro_ap"": 0.8731092007706746, ""ap_gain_vs_baseline"": 0.0, ""improved_countries"": 0, ""worst_ap_delta"": 0.0, ""eligible"": true}, {""branch"": ""temporal_features"", ""macro_ap"": 0.868186406754074, ""ap_gain_vs_baseline"": -0.004922794016600585, ""improved_countries"": 1, ""worst_ap_delta"": -0.014359601584489123, ""eligible"": false}, {""branch"": ""tcn_only"", ""macro_ap"": 0.8296186996890459, ""ap_gain_vs_baseline"": -0.04349050108162864, ""improved_countries"": 2, ""worst_ap_delta"": -0.16772438165132142, ""eligible"": false}]"
Libya,nb9_baseline,0.8743256559315549,0.7531711804956586,0.4533247252910229,,
Libya,temporal_features,0.8799809494952985,0.7484652981427175,0.4573627321621084,,
Libya,rank_blend_nb9_baseline,0.8836352735513906,0.7762551174315881,0.7416666666666667,,
Libya,rank_blend_temporal_features,0.8842217026858105,0.7762551174315881,0.7416666666666667,,
Libya,tcn_only,0.8134984500964537,0.7468864468864469,0.8038526177406311,,
Libya,nested_champion,0.8842217026858105,0.7762551174315881,0.7416666666666667,rank_blend_temporal_features,"[{""branch"": ""rank_blend_temporal_features"", ""macro_ap"": 0.8842217026858105, ""ap_gain_vs_baseline"": 0.00989604675425546, ""improved_countries"": 4, ""worst_ap_delta"": -0.001009557804793615, ""eligible"": true}, {""branch"": ""rank_blend_nb9_baseline"", ""macro_ap"": 0.8836352735513906, ""ap_gain_vs_baseline"": 0.009309617619835665, ""improved_countries"": 3, ""worst_ap_delta"": -0.005419532340271593, ""eligible"": true}, {""branch"": ""nb9_baseline"", ""macro_ap"": 0.8743256559315549, ""ap_gain_vs_baseline"": 0.0, ""improved_countries"": 0, ""worst_ap_delta"": 0.0, ""eligible"": true}, {""branch"": ""temporal_features"", ""macro_ap"": 0.8799809494952985, ""ap_gain_vs_baseline"": 0.0056552935637435246, ""improved_countries"": 2, ""worst_ap_delta"": -0.004155371032432353, ""eligible"": false}, {""branch"": ""tcn_only"", ""macro_ap"": 0.8134984500964537, ""ap_gain_vs_baseline"": -0.06082720583510128, ""improved_countries"": 0, ""worst_ap_delta"": -0.10079881473469954, ""eligible"": false}]"
Nigeria,nb9_baseline,0.8688927690994948,0.7460673457838144,0.360133726990286,,
Nigeria,temporal_features,0.8643029989755142,0.727470990742338,0.37667197479782366,,
Nigeria,rank_blend_nb9_baseline,0.881419243504476,0.7565331442750798,0.7666666666666667,,
Nigeria,rank_blend_temporal_features,0.8824573791470899,0.7628490028490029,0.7833333333333333,,
Nigeria,tcn_only,0.8306386842122006,0.7315358172307036,0.5078058242797852,,
Nigeria,nested_champion,0.8824573791470899,0.7628490028490029,0.7833333333333333,rank_blend_temporal_features,"[{""branch"": ""rank_blend_temporal_features"", ""macro_ap"": 0.8824573791470899, ""ap_gain_vs_baseline"": 0.013564610047595039, ""improved_countries"": 4, ""worst_ap_delta"": -0.008697326065747246, ""eligible"": true}, {""branch"": ""rank_blend_nb9_baseline"", ""macro_ap"": 0.881419243504476, ""ap_gain_vs_baseline"": 0.012526474404981247, ""improved_countries"": 4, ""worst_ap_delta"": -0.0065768348073249605, ""eligible"": true}, {""branch"": ""nb9_baseline"", ""macro_ap"": 0.8688927690994948, ""ap_gain_vs_baseline"": 0.0, ""improved_countries"": 0, ""worst_ap_delta"": 0.0, ""eligible"": true}, {""branch"": ""temporal_features"", ""macro_ap"": 0.8643029989755142, ""ap_gain_vs_baseline"": -0.004589770123980608, ""improved_countries"": 1, ""worst_ap_delta"": -0.019841269841269882, ""eligible"": false}, {""branch"": ""tcn_only"", ""macro_ap"": 0.8306386842122006, ""ap_gain_vs_baseline"": -0.038254084887294225, ""improved_countries"": 1, ""worst_ap_delta"": -0.09521072847541201, ""eligible"": false}]"
