branch,macro_f1,macro_pr_auc,macro_roc_auc,worst_country_pr_auc
nested_champion,0.8140112813963389,0.9089113830917747,0.9250252298975418,0.8286327512643302
nb9_baseline,0.7915909090909091,0.9058505602989815,0.9202249407420185,0.8286327512643302
temporal_features,0.7932649071358749,0.9022947703721312,0.9189196279684895,0.8232569676276771
rank_blend_nb9_baseline,0.8012246852764093,0.8987801669801124,0.9190692437233392,0.80791943965857
rank_blend_temporal_features,0.7776864950715526,0.8976096201646621,0.919217149089461,0.8056809374200677
tcn_only,0.7082531665864998,0.8033730939272629,0.8570275813160063,0.6822414320783885
