source_id,country,chip_id,status,chip_file,crs,clear_fraction,center_clear_fraction,worldcover_valid_fraction,reflectance_p01,reflectance_p99,scene_id,scene_datetime,error
Iraq_32986,Iraq,d5b8526b868363c59117,ok,d5b8526b868363c59117.npz,EPSG:32638,1.0,1.0,1.0,0.055149395018815994,0.4605998396873474,S2B_T38SLE_20231013T075213_L2A,2023-10-13T08:00:05.012000Z,
Libya_839,Libya,2ecad96238e9f4256c14,ok,2ecad96238e9f4256c14.npz,EPSG:32633,1.0,1.0,1.0,0.11963686347007751,0.6704123616218567,S2A_T33RTN_20230616T100121_L2A,2023-06-16T10:02:41.146000Z,
Libya_2075,Libya,36897572e3f03b92b974,ok,36897572e3f03b92b974.npz,EPSG:32634,1.0,1.0,1.0,0.032033521682024,0.5483349561691284,S2B_T34SFB_20241011T091503_L2A,2024-10-11T09:21:19.656000Z,
Libya_2351,Libya,4b372bc78af054ae2af5,ok,4b372bc78af054ae2af5.npz,EPSG:32634,1.0,1.0,1.0,0.06268233060836792,0.5271126627922058,S2B_T34SDA_20230722T091941_L2A,2023-07-22T09:31:45.017000Z,
Libya_2232,Libya,53b02131ad87a4c0b62d,ok,53b02131ad87a4c0b62d.npz,EPSG:32634,1.0,1.0,1.0,0.05522395670413971,0.4963831603527069,S2B_T34SDB_20241004T092322_L2A,2024-10-04T09:31:25.592000Z,
Libya_3299,Libya,6eed0a32725007cc40bf,ok,6eed0a32725007cc40bf.npz,EPSG:32634,0.9984,1.0,1.0,0.03492715209722519,0.3436174690723419,S2B_T34SDB_20241004T092322_L2A,2024-10-04T09:31:25.592000Z,
Libya_1222,Libya,81915b0a7ffd3df84241,ok,81915b0a7ffd3df84241.npz,EPSG:32633,1.0,1.0,1.0,0.04989941045641899,0.6191607713699341,S2A_T33RVK_20230802T095154_L2A,2023-08-02T09:53:22.255000Z,
Libya_2851,Libya,8630793eb0344aaacf28,ok,8630793eb0344aaacf28.npz,EPSG:32632,1.0,1.0,1.0,0.16313721239566803,0.7361947298049927,S2B_T32RQV_20230810T095821_L2A,2023-08-10T10:02:16.294000Z,
Libya_2964,Libya,9177320e1acfd3c1738f,ok,9177320e1acfd3c1738f.npz,EPSG:32634,1.0,1.0,1.0,0.21023185551166534,0.6773983240127563,S2B_T34RES_20230609T091054_L2A,2023-06-09T09:22:42.749000Z,
Libya_448,Libya,bf374616c73b3635b214,ok,bf374616c73b3635b214.npz,EPSG:32634,1.0,1.0,1.0,0.23319871723651886,0.7644428014755249,S2B_T34RCT_20231030T093101_L2A,2023-10-30T09:32:28.133000Z,
Libya_1563,Libya,d43f29050cb13538ab37,ok,d43f29050cb13538ab37.npz,EPSG:32634,1.0,1.0,1.0,0.1972072422504425,0.6657326221466064,S2A_T34RDV_20230915T093154_L2A,2023-09-15T09:32:01.787000Z,
Libya_1524,Libya,dbb6afedc5628f00d4b8,ok,dbb6afedc5628f00d4b8.npz,EPSG:32634,0.999975,0.9996,1.0,0.19555142521858215,0.7281386852264404,S2A_T34RBS_20240919T092850_L2A,2024-09-19T09:32:44.865000Z,
Libya_3055,Libya,dc2da202998de16e1fc9,ok,dc2da202998de16e1fc9.npz,EPSG:32633,1.0,1.0,1.0,0.09069831669330597,0.6102160811424255,S2B_T33SUS_20230618T095114_L2A,2023-06-18T09:51:43.742000Z,
Libya_263,Libya,dc9e8be89c8428213026,ok,dc9e8be89c8428213026.npz,EPSG:32634,0.935,1.0,1.0,0.19262996315956116,0.7325665354728699,S2A_T34RFT_20240906T091831_L2A,2024-09-06T09:22:19.729000Z,
Libya_161,Libya,eac1ca6c5c22206fe04c,ok,eac1ca6c5c22206fe04c.npz,EPSG:32634,1.0,1.0,1.0,0.016398588195443153,0.7311961054801941,S2A_T34RCR_20231015T092337_L2A,2023-10-15T09:32:53.413000Z,
Libya_1046,Libya,ed57938a13e4d1bb5e50,ok,ed57938a13e4d1bb5e50.npz,EPSG:32634,1.0,1.0,1.0,0.19585347175598145,0.7456012964248657,S2B_T34RCS_20240805T092259_L2A,2024-08-05T09:32:42.786000Z,
Libya_907,Libya,fef3cf8c15d0899c86d7,ok,fef3cf8c15d0899c86d7.npz,EPSG:32634,0.9964,0.9424,1.0,0.18965429067611694,0.6875473260879517,S2A_T34RFS_20231121T091328_L2A,2023-11-21T09:22:30.427000Z,
Nigeria_42858,Nigeria,201055ce3c7c4e6aeabd,ok,201055ce3c7c4e6aeabd.npz,EPSG:32631,0.9596,0.916,1.0,-0.00429315073415637,0.31783559918403625,S2A_T31NGG_20231213T100429_L2A,2023-12-13T10:09:14.611000Z,
Nigeria_431194,Nigeria,34692f4f2b546ad557ce,ok,34692f4f2b546ad557ce.npz,EPSG:32631,0.9217,0.932,1.0,0.002376468386501074,0.3664178252220154,S2A_T31NGG_20231213T100429_L2A,2023-12-13T10:09:14.611000Z,
Nigeria_202008,Nigeria,3cc5104ad44d7e5f7190,ok,3cc5104ad44d7e5f7190.npz,EPSG:32631,1.0,1.0,1.0,0.023821033537387848,0.31112149357795715,S2B_T31PEL_20241205T101642_L2A,2024-12-05T10:18:22.437000Z,
Nigeria_10753,Nigeria,3dd03d6fcffda7d66a00,ok,3dd03d6fcffda7d66a00.npz,EPSG:32632,0.99195,0.9744,1.0,0.033543746918439865,0.2927154302597046,S2A_T32NKM_20221228T100646_L2A,2022-12-28T10:09:12.289000Z,
Nigeria_59047,Nigeria,4342d6329260104642e3,ok,4342d6329260104642e3.npz,EPSG:32631,1.0,1.0,1.0,0.027713418006896973,0.30644533038139343,S2A_T31NDJ_20231216T101226_L2A,2023-12-16T10:18:50.379000Z,
Nigeria_159358,Nigeria,4f4984a8268d6a2a05c8,ok,4f4984a8268d6a2a05c8.npz,EPSG:32631,1.0,1.0,1.0,0.03821050375699997,0.3161354064941406,S2B_T31PFP_20241105T100527_L2A,2024-11-05T10:17:31.077000Z,
Nigeria_154666,Nigeria,55c06d0baf4a8786c207,ok,55c06d0baf4a8786c207.npz,EPSG:32632,1.0,1.0,1.0,0.031134875491261482,0.3438582420349121,S2A_T32PMR_20231210T095630_L2A,2023-12-10T09:58:08.770000Z,
Nigeria_14482,Nigeria,60ca9b1094f501cdf5cc,ok,60ca9b1094f501cdf5cc.npz,EPSG:32632,0.970275,1.0,1.0,0.03778446093201637,0.3088882267475128,S2A_T31NHG_20221228T100646_L2A,2022-12-28T10:09:14.721000Z,
Nigeria_378328,Nigeria,939a56aa5af722bbf5ff,ok,939a56aa5af722bbf5ff.npz,EPSG:32633,1.0,1.0,1.0,0.2153431475162506,0.7657067775726318,S2B_T33PUR_20240430T094131_L2A,2024-04-30T09:46:47.860000Z,
Nigeria_163317,Nigeria,b9d85ed792295da5ec70,ok,b9d85ed792295da5ec70.npz,EPSG:32632,0.9993,1.0,1.0,0.039615448564291,0.2946082353591919,S2A_T31NHG_20221228T100646_L2A,2022-12-28T10:09:14.721000Z,
Nigeria_354508,Nigeria,c9ba76863791ba23d1cf,ok,c9ba76863791ba23d1cf.npz,EPSG:32631,1.0,1.0,1.0,0.05789977312088013,0.37426823377609253,S2B_T31PEK_20241205T101642_L2A,2024-12-05T10:18:36.881000Z,
Nigeria_432548,Nigeria,cc1e8dbd5a70a5ffc9ec,ok,cc1e8dbd5a70a5ffc9ec.npz,EPSG:32631,0.9973,1.0,1.0,0.05578061193227768,0.31531989574432373,S2B_T31NEJ_20231221T101203_L2A,2023-12-21T10:18:52.426000Z,
Nigeria_120415,Nigeria,d591ed5d6756e7e1c120,ok,d591ed5d6756e7e1c120.npz,EPSG:32631,0.996375,0.948,1.0,0.0031017677392810583,0.27207303047180176,S2B_T31NGF_20231228T100254_L2A,2023-12-28T10:09:34.840000Z,
Nigeria_312811,Nigeria,e4514f58806866f9f5a9,failed,e4514f58806866f9f5a9.npz,,,,,,,,,"RuntimeError: No acceptable scene among the limited candidates: [{""item"": ""S2A_T32NKL_20221228T100646_L2A"", ""reason"": ""cloud/coverage"", ""clear_fraction"": 0.1673}, {""item"": ""S2A_T32NKL_20231213T100429_L2A"", ""reason"": ""cloud/coverage"", ""clear_fraction"": 0.2513}, {""item"": ""S2A_T32NKK_20231213T100429_L2A"", ""reason"": ""cloud/coverage"", ""clear_fraction"": 0.1929}, {""item"": ""S2B_T32NKL_20240117T100205_L2A"", ""reason"": ""cloud/coverage"", ""clear_fraction"": 0.1684}, {""item"": ""S2A_T32NKK_20221228T100646_L2A"", ""reason"": ""cloud/coverage"", ""clear_fraction"": 0.1343}, {""item"": ""S2B_T32NKL_20241222T100806_L2A"", ""reason"": ""cloud/coverage"", ""clear_fraction"": 0.3869}, {""item"": ""S2B_T32NKL_20231218T100253_L2A"", ""reason"": ""cloud/coverage"", ""clear_fraction"": 0.1373}, {""item"": ""S2B_T32NKK_20240117T100205_L2A"", ""reason"": ""cloud/coverage"", ""clear_fraction"": 0.1316}]"
Nigeria_468340,Nigeria,f31fc31cce99609cf7d3,ok,f31fc31cce99609cf7d3.npz,EPSG:32631,0.993675,0.9952,1.0,-0.00445289071649313,0.30408477783203125,S2A_T31NGF_20221228T100646_L2A,2022-12-28T10:09:32.140000Z,
Nigeria_188945,Nigeria,f56bbc9a05633149d996,ok,f56bbc9a05633149d996.npz,EPSG:32632,1.0,1.0,1.0,0.02393626794219017,0.3442334532737732,S2A_T32PNQ_20241104T095622_L2A,2024-11-04T09:58:22.963000Z,
