country,branch,review_fraction,review_count,positive_found,precision_at_budget,recall_at_budget
Libya,cv_multispectral,0.2,11,9,0.8181818181818182,0.6
Libya,cv_multispectral,0.3,16,11,0.6875,0.7333333333333333
Libya,guarded_cv_tabular,0.1,6,6,1.0,0.4
Libya,guarded_cv_tabular,0.2,11,11,1.0,0.7333333333333333
Libya,guarded_cv_tabular,0.3,16,12,0.75,0.8
Libya,handcrafted_image,0.1,6,5,0.8333333333333334,0.3333333333333333
Libya,handcrafted_image,0.2,11,8,0.7272727272727273,0.5333333333333333
Libya,handcrafted_image,0.3,16,8,0.5,0.5333333333333333
Libya,nested_champion,0.1,6,6,1.0,0.4
Libya,nested_champion,0.2,11,11,1.0,0.7333333333333333
Libya,nested_champion,0.3,16,12,0.75,0.8
Nigeria,all77_tabular,0.1,5,5,1.0,0.3125
Nigeria,all77_tabular,0.2,10,10,1.0,0.625
Nigeria,all77_tabular,0.3,15,13,0.8666666666666667,0.8125
Nigeria,cnn_only,0.1,5,5,1.0,0.3125
Nigeria,cnn_only,0.2,10,8,0.8,0.5
Nigeria,cnn_only,0.3,15,12,0.8,0.75
Nigeria,compact_tabular,0.1,5,5,1.0,0.3125
Nigeria,compact_tabular,0.2,10,10,1.0,0.625
Nigeria,compact_tabular,0.3,15,12,0.8,0.75
Nigeria,cv_multispectral,0.1,5,4,0.8,0.25
Nigeria,cv_multispectral,0.2,10,9,0.9,0.5625
Nigeria,cv_multispectral,0.3,15,12,0.8,0.75
Nigeria,guarded_cv_tabular,0.1,5,5,1.0,0.3125
Nigeria,guarded_cv_tabular,0.2,10,10,1.0,0.625
Nigeria,guarded_cv_tabular,0.3,15,13,0.8666666666666667,0.8125
Nigeria,handcrafted_image,0.1,5,5,1.0,0.3125
Nigeria,handcrafted_image,0.2,10,9,0.9,0.5625
Nigeria,handcrafted_image,0.3,15,12,0.8,0.75
Nigeria,nested_champion,0.1,5,5,1.0,0.3125
Nigeria,nested_champion,0.2,10,10,1.0,0.625
Nigeria,nested_champion,0.3,15,13,0.8666666666666667,0.8125
