branch,macro_f1,macro_pr_auc,macro_roc_auc,worst_country_pr_auc
guarded_cv_tabular,0.783165137331804,0.9283155214216912,0.9452263117150846,0.8276946731625275
nested_champion,0.7575241116907784,0.9167414473476171,0.9433323723211453,0.8276946731625275
compact_tabular,0.7416135716135717,0.9082319586687913,0.9214454794625572,0.8231382948774253
all77_tabular,0.7444343891402715,0.8999722887724267,0.9215312784177426,0.8413722388722389
handcrafted_image,0.6360481102525462,0.804480616033136,0.8666436396433234,0.6742830455769052
cv_multispectral,0.6530605895621062,0.8033935860586857,0.899951403663453,0.6958514889716224
cnn_only,0.5679407763796,0.751104206712502,0.8571608585326169,0.5785693391450017
